nodes,hubs,authorities,hubs_normalized,authorities_normalized
Obergefell_v_Hodges,-2.7711327550450218,0.0,0.5308637431808243,0.0
Lawrence_v_Texas,-1.1771789556198917e-16,-0.31193373518847634,-4.0920192749152944e-17,0.10574019033838818
Bowers_v_Hardwick,0.0,-0.31193373518847617,0.0,0.10574019033838815
Zablocki_v_Redhail,-0.4709829083630309,-0.31193373518847645,0.09022582886099506,0.10574019033838815
Turner_v_Safley,-0.4709829083630309,-0.31193373518847634,0.09022582886099506,0.10574019033838815
Windsor_v_United_States,-0.4709829083630309,-0.31193373518847645,0.09022582886099506,0.10574019033838818
PPvCasey,-0.4829059487082763,-1.6963449766603553e-16,0.0925099164119251,-3.462747942029384e-17
Roe_v_Wade,-0.5530578099621563,-0.05435851315714395,0.10594885382426546,0.01842660436927478
Griswold_v_Connecticut,-6.791677504135163e-18,-0.42854743555113234,-2.448307819639317e-17,0.14527023624689026
Lochner_v_New_York,0.0,-0.06225518720551192,0.0,0.02110344153922723
NAACP_v_State_of_Alabama,0.0,-6.791677504135163e-18,0.0,-4.332295071441063e-17
Union_Pacific_Railroad_v_Botsford,0.0,-0.06225518720551194,0.0,0.021103441539227285
Loving_v_Virginia,0.0,-0.4709829083630309,0.0,0.15965513427505149
Baker_v_Nelson,0.0,-0.31193373518847634,0.0,0.10574019033838818
County_of_Sacramento_vs._Lewis,0.0,7.64484625287115e-17,0.0,-1.4641045156419968e-17
Romer_v_Evans,0.0,-2.453186042466513e-17,0.0,-2.3139996912095613e-17
